Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,VAT Fistula Measure Score Applied,Kt/V Comprehensive Achievement Measure Rate,ICH CAHPS Neph Comm and Caring Measure Score Applied,ICH CAHPS Quality of Dialysis Care and Ops Achievement Rate,ICH CAHPS Quality of Dialysis Care and Ops Improvement Rate,ICH CAHPS Quality of Dialysis Care and Ops Measure Score Applied,ICH CAHPS Providing Info to Patients Achievement Rate,ICH CAHPS Providing Info to Patients Improvement Rate,ICH CAHPS Providing Info to Patients Measure Score Applied,ICH CAHPS Overall Rating of Neph Achievement Rate,ICH CAHPS Overall Rating of Neph Improvement Rate,ICH CAHPS Overall Rating of Neph Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Staff Achievement Rate,ICH CAHPS Overall Rating of Dialysis Staff Improvement Rate,ICH CAHPS Overall Rating of Dialysis Staff Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Facility Achievement Rate,ICH CAHPS Overall Rating of Dialysis Facility Improvement Rate,ICH CAHPS Overall Rating of Dialysis Facility Measure Score Applied,Serum Phosphorus Measure Score,Serum Phosphorus Reason for No Score (See Footnotes File),National Average Serum Phosphorus Measure Score,Anemia Management Measure Score,Anemia Management Reason for No Score (See Footnotes File),National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Measure Ratio,Number of Index Discharges in SRR Achievement Period,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,National Average SRR Measure Score,National Average SHR Measure Score,Total Performance Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
"DIALYSIS CLINIC, INC.",422664,-,251 S. PEARSON ST ,WOODRUFF,SC,29388,6,10,1.90%,Achievement,97.10%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,9,-,0.696,22,5,6.718,0.277,1,3.616,Achievement,5,5,81,No Reduction,07-03-2017,"DIALYSIS CLINIC, INC.",13-03-2017
DAVITA FLOWER TOWN HOME TRAINING,422665,-,2143 NORTH MAIN STREET ,SUMMERVILLE,SC,29486,6,No Score,No Rate,N/A,96.74%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,4,-,1.003,29,7,6.012,No Ratio,N/A,N/A,Achievement,5,5,53,0.50%,28-06-2017,DAVITA,18-08-2017
FRESENIUS KIDNEY CARE FLORENCE MEDICAL MILE,422666,-,181 E. EVANS STREET SUITE B,FLORENCE,SC,29506,6,0,23.87%,Achievement,96.56%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,4,-,1.013,87,22,21.719,No Ratio,N/A,N/A,Achievement,5,5,43,1.00%,25-10-2017,FRESENIUS MEDICAL CARE,01-12-2017
MARION TOWNE DIALYSIS,422667,-,2529 EAST HIGHWAY 76 ,MARION,SC,29571,6,No Score,No Rate,N/A,96.57%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,10,-,0.59,11,2,3.389,No Ratio,N/A,N/A,Achievement,5,5,77,No Reduction,01-11-2017,DAVITA,18-12-2017
BLACK CREEK DIALYSIS CENTER,422668,-,1001 SOUTH 4TH STREET ,HARTSVILLE,SC,29550,6,8,5.52%,Achievement,94.20%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,8,-,0.742,17,4,4.504,No Ratio,N/A,N/A,Achievement,5,5,72,No Reduction,30-03-2018,FRESENIUS MEDICAL CARE,23-05-2018
NORTHRIDGE DIALYSIS,422669,-,139 MARKET PLACE DR ,NORTH AUGUSTA,SC,29860,6,10,0.00%,Achievement,95.87%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,2,9,No Score,2,10,7,-,0.815,13,4,3.33,No Ratio,N/A,N/A,Achievement,5,5,No Score,No Reduction,19-07-2018,NOT A CHAIN,16-08-2018
"LEXINGTON KIDNEY CENTER, LLC",422670,-,2831 AUGUSTA RD ,WEST COLUMBIA,SC,29170,6,8,5.63%,Achievement,98.63%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,2,9,No Score,2,10,6,-,0.848,14,7,5.562,No Ratio,N/A,N/A,Achievement,5,5,No Score,No Reduction,02-07-2018,AMERICAN RENAL ASSOCIATES,11-09-2018
BIO-MEDICAL APPLICATIONS OF SOUTH CAROLINA INC.,422672,-,125 KINARD ST ,ORANGEBURG,SC,29118,6,No Score,No Rate,N/A,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,"1, 2",9,No Score,"1, 2",10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,No Score,No Reduction,19-10-2018,FRESENIUS MEDICAL CARE,N/A
USRC MAULDIN LLC,422673,-,1328 HIGHWAY 14 ,SIMPSONVILLE,SC,29681,6,No Score,No Rate,N/A,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,"1, 2",9,No Score,"1, 2",10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,No Score,No Reduction,02-11-2018,"US RENAL CARE, INC.",N/A
TOTAL RENAL CARE INC,422674,-,231 KELLEY STREET ,LAKE CITY,SC,29560,6,No Score,No Rate,N/A,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,No Score,1,10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,No Score,No Reduction,29-10-2018,DAVITA,N/A
PRAIRIE LAKES HEALTHCARE SYSTEM,432300,430005,401 - 9TH AVE NW PO BOX 1210,WATERTOWN,SD,57201,11,6,8.78%,Achievement,89.09%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,7,-,0.815,38,8,9.603,0.718,5,6.967,Achievement,5,5,54,0.50%,01-09-1977,NOT A CHAIN,17-01-2013
HURON REGIONAL MEDICAL CTR,432301,430011,172 4TH ST SE ,HURON,SD,57350,11,2,14.97%,Achievement,99.05%,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,9,-,9,10,-,10,No Score,13,No Ratio,<11,,,0.767,,,N/A,5,5,64,No Reduction,18-08-1977,NOT A CHAIN,14-05-2006
AVERA ST LUKES HOSPITAL,432302,430014,305 S STATE ST ,ABERDEEN,SD,57401,11,0,37.20%,Achievement,96.82%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.337,38,3,8.914,0.781,10,12.801,Achievement,5,5,65,No Reduction,14-07-1977,NOT A CHAIN,14-07-1977
SANFORD HEALTH - DIALYSIS UNIT,432303,430027,1305 W 18TH ST ,SIOUX FALLS,SD,57117,11,7,6.57%,Achievement,92.00%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,7,-,10,8,-,0.723,80,14,19.356,0.901,32,35.505,Achievement,5,5,48,1.00%,08-08-1977,SANFORD HEALTH,14-05-2006
AVERA ST MARYS HOSPITAL,432305,430015,801 EAST SIOUX ,PIERRE,SD,57501,11,2,14.13%,Achievement,99.10%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,8,-,0.765,22,5,5.707,0.193,1,5.182,Achievement,5,5,74,No Reduction,10-10-1980,NOT A CHAIN,13-05-2006
AVERA SACRED HEART - YANKTON DIALYSIS,432306,430012,501 SUMMIT ST ,YANKTON,SD,57078,11,7,6.71%,Achievement,98.18%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,9,-,0.69,31,5,7.074,0.799,6,7.508,Achievement,5,5,76,No Reduction,01-12-1986,NOT A CHAIN,02-11-2015
AVERA GREGORY HEALTHCARE CTR DIALYSIS,432308,431338,400 PARK ST ,GREGORY,SD,57533,11,10,0.00%,Achievement,97.55%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,9,-,0.676,17,3,4.131,1.259,3,2.383,Achievement,5,5,69,No Reduction,01-05-2002,NOT A CHAIN,03-01-2010
REGIONAL DIALYSIS CENTER - RCRH,432310,430077,353 FAIRMONT BLVD ,RAPID CITY,SD,57701,11,No Score,No Rate,N/A,88.69%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,4,-,10,6,-,0.889,23,10,9.147,0.764,7,9.16,Achievement,5,5,49,0.50%,27-07-2011,NOT A CHAIN,27-07-2011
AVERA DIALYSIS - SIOUX FALLS,432311,430016,"1315 S CLIFF AVE PLAZA 3, SUITE 4000",SIOUX FALLS,SD,57105,11,4,11.20%,Achievement,96.60%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,4,-,1.03,168,44,42.705,1.255,46,36.664,Achievement,5,5,47,1.00%,16-01-2014,NOT A CHAIN,16-01-2014
SANFORD MEDICAL CENTER,432312,-,1321 W 22ND ST ,SIOUX FALLS,SD,57105,11,6,9.14%,Achievement,97.53%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,4,-,1.001,47,14,13.99,No Ratio,N/A,N/A,Achievement,5,5,67,No Reduction,06-03-2018,SANFORD HEALTH,07-03-2018
BLACK HILLS DIALYSIS - EAGLE BUTTE,432501,-,201 SOUTH SYCAMORE STREET ,EAGLE BUTTE,SD,57625,11,1,16.50%,Achievement,98.68%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.52,25,4,7.691,1.064,9,8.455,Achievement,5,5,85,No Reduction,10-01-1994,NOT A CHAIN,27-01-2010
SIOUX FALLS DIALYSIS - DAVITA,432503,-,2326 W 69TH ST ,SIOUX FALLS,SD,57108,11,8,5.28%,Improvement,97.93%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,6,-,0.911,51,13,14.266,0.99,13,13.13,Achievement,5,5,71,No Reduction,16-02-1995,DAVITA,06-04-2011
ROSEBUD DIALYSIS OF DAVITA,432504,-,1 SOLDIER CREEK RD ,ROSEBUD,SD,57570,11,7,7.81%,Achievement,96.77%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,9,-,10,9,-,0.689,41,7,10.139,0.985,16,16.246,Achievement,5,5,68,No Reduction,06-07-1995,DAVITA,14-05-2006
MITCHELL CMTY DIALYSIS OF DAVITA,432505,-,819 E SPRUCE ST STE 100 ,MITCHELL,SD,57301,11,10,0.00%,N/A,98.30%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,No Score,13,No Ratio,<11,,,0.208,,,N/A,5,5,85,No Reduction,11-08-1995,DAVITA,21-04-2016
VA MEDICAL CENTER - HOT SPRINGS,432507,-,500 N 5TH ST ,HOT SPRINGS,SD,57747,11,No Score,No Rate,N/A,98.41%,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Score,1,9,No Score,1,10,10,-,0.588,12,2,3.401,0.83,3,3.613,Achievement,5,5,52,0.50%,04-01-2001,VETERANS ADMINISTRATION,14-05-2006
BLACK HILLS DIALYSIS - PINE RIDGE,432508,-,100 DIALYSIS DRIVE PO BOX 3013,PINE RIDGE,SD,57770,11,1,16.70%,Achievement,97.80%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,3,-,1.093,55,17,15.551,0.61,8,13.122,Achievement,5,5,67,No Reduction,05-03-2002,NOT A CHAIN,14-05-2006
SHARPS CORNER,432514,-,"HCR 49, BOX 82C ",PORCUPINE,SD,57772,11,7,6.71%,Achievement,95.95%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,6,-,0.898,47,13,14.479,0.741,11,14.838,Achievement,5,5,66,No Reduction,09-09-2004,NOT A CHAIN,28-06-2014
TOTAL RENAL CARE INC,432515,-,3313 6TH AVE SE ,ABERDEEN,SD,57401,11,No Score,No Rate,N/A,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,10,-,10,2,-,1.196,15,9,4.105,No Ratio,N/A,N/A,Achievement,5,5,55,0.50%,20-12-2016,DAVITA,20-12-2016
"FRESENIUS MEDICAL CARE DAKOTA DUNES, LLC",432516,-,357 W TOWER RD ,DAKOTA DUNES,SD,57049,11,7,7.62%,N/A,93.62%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,4,-,1.008,61,17,16.865,No Ratio,N/A,N/A,Achievement,5,5,49,0.50%,18-07-2017,FRESENIUS MEDICAL CARE,18-07-2017
MID-DAKOTA DIALYSIS OF SANFORD HEALTH,433502,-,300 S BYRON BLVD ,CHAMBERLAIN,SD,57325,11,7,6.44%,Achievement,88.70%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,6,-,0.879,17,6,4.884,0.552,2,3.626,Achievement,5,5,61,No Reduction,30-10-1996,SANFORD HEALTH,30-10-1996
SISSETON SATELLITE DIALYSIS,433505,-,100 LAKE TRAVERSE DR ,SISSETON,SD,57262,11,9,4.54%,Achievement,86.27%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,7,-,0.813,15,4,3.572,No Ratio,N/A,N/A,Achievement,5,5,68,No Reduction,02-12-1998,NOT A CHAIN,19-05-2006
REGIONAL DIALYSIS CENTER - SPEARFISH,433506,-,132 YANKEE ST ,SPEARFISH,SD,57783,11,10,2.05%,Achievement,99.37%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,6,-,10,10,-,0.518,28,4,7.727,No Ratio,N/A,N/A,Achievement,5,5,85,No Reduction,27-08-1999,NOT A CHAIN,27-08-2005
MADISON DIALYSIS OF SANFORD HEALTH,433507,-,323 SW 10TH ST ,MADISON,SD,57042,11,No Score,No Rate,N/A,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,No Score,1,10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,85,No Reduction,24-04-2000,SANFORD HEALTH,10-10-2015
AVERA DIALYSIS - BROOKINGS,433510,-,300 22ND AVE STE 101 ,BROOKINGS,SD,57006,11,4,11.39%,Achievement,100.00%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.361,19,2,5.538,1.342,11,8.194,Achievement,5,5,78,No Reduction,06-09-2012,NOT A CHAIN,02-05-2003
AVERA DIALYSIS - MITCHELL,433511,-,1900 GRASSLAND DR STE 102 ,MITCHELL,SD,57301,11,0,27.57%,Achievement,99.19%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,5,-,0.917,30,9,8.762,0.609,2,3.283,Achievement,5,5,52,0.50%,26-02-2015,NOT A CHAIN,24-05-2016
AVERA DIALYSIS - WAGNER,433512,-,310 W SD HIGHWAY 46 ,WAGNER,SD,57380,11,7,7.18%,Achievement,98.99%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,No Score,13,No Ratio,<11,,,0.429,,,N/A,5,5,86,No Reduction,03-05-2016,NOT A CHAIN,04-05-2016
REGIONAL DIALYSIS CENTER,433513,432304,640 FLORMANN STREET SUITE 401 ,RAPID CITY,SD,57701,11,3,13.29%,Achievement,85.20%,Achievement,77.38%,73.85%,Achievement,74.52%,73.40%,Achievement,86.51%,84.26%,Achievement,79.92%,76.32%,Achievement,84.08%,85.75%,Achievement,4,-,9,1,-,10,7,-,0.779,143,30,38.523,0.814,34,41.772,Achievement,5,5,63,No Reduction,19-07-1977,NOT A CHAIN,15-05-2006
AVERA DIALYSIS MILBANK,433514,-,301 FLYNN DR STE 4 ,MILBANK,SD,57252,11,No Score,No Rate,N/A,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,No Score,1,10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,No Score,No Reduction,06-09-2017,NOT A CHAIN,16-11-2017
LEBONHEUR CHILDRENS HOSP DIALYSIS,442307,443301,50 N DUNLAP--DIALYSIS UNIT 2ND FLOOR ,MEMPHIS,TN,38103,8,No Score,No Rate,N/A,79.10%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,No Score,1,10,5,-,0.953,13,6,3.642,No Ratio,N/A,N/A,Achievement,5,5,63,No Reduction,18-06-1984,NOT A CHAIN,06-03-2012
FMC JOHNSON CITY,442501,-,100 TECHNOLOGY LANE ,JOHNSON CITY,TN,37604,8,7,7.81%,Achievement,95.09%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,6,-,0.88,117,30,34.102,1.098,40,36.44,Achievement,5,5,61,No Reduction,01-04-1973,FRESENIUS MEDICAL CARE,18-05-2010
DCI NASHVILLE,442502,-,935 21ST AVENUE NORTH ,NASHVILLE,TN,37208,8,8,6.21%,Achievement,91.97%,Achievement,65.84%,70.84%,Achievement,76.41%,82.74%,Achievement,57.84%,67.23%,Achievement,59.99%,76.23%,Achievement,74.19%,62.02%,Achievement,10,-,9,10,-,10,4,-,1,101,24,24.006,1.043,25,23.975,Achievement,5,5,52,0.50%,01-04-1971,"DIALYSIS CLINIC, INC.",02-01-1980
DCI KNOXVILLE,442503,-,3734 MARTIN MILL PIKE ,KNOXVILLE,TN,37920,8,4,11.59%,Achievement,97.35%,Improvement,59.86%,50.50%,Achievement,82.28%,72.60%,Achievement,57.53%,34.01%,Improvement,59.60%,37.53%,Improvement,57.18%,49.56%,Achievement,10,-,9,10,-,10,0,-,1.278,178,56,43.834,0.899,39,43.363,Achievement,5,5,48,1.00%,01-09-1976,"DIALYSIS CLINIC, INC.",02-01-1980
DCI JACKSON,442504,-,93 RIDGECREST RD ,JACKSON,TN,38305,8,1,16.02%,Achievement,84.32%,Achievement,50.63%,61.09%,Achievement,73.57%,74.35%,Achievement,38.65%,45.37%,Achievement,30.03%,54.12%,Achievement,47.23%,60.23%,Achievement,7,-,9,10,-,10,1,-,1.206,160,50,41.444,1.068,57,53.393,Achievement,5,5,30,1.50%,01-09-1976,"DIALYSIS CLINIC, INC.",02-01-1980
DCI CHATTANOOGA 3RD ST,442505,-,1425 EAST THIRD STREET ,CHATTANOOGA,TN,37404,8,1,16.96%,Achievement,88.40%,Achievement,56.78%,No Rate,Achievement,68.34%,No Rate,Achievement,39.67%,No Rate,Achievement,51.00%,No Rate,Achievement,53.62%,No Rate,Achievement,9,-,9,10,-,10,6,-,0.889,76,15,16.864,0.986,19,19.267,Achievement,5,5,46,1.00%,01-09-1976,"DIALYSIS CLINIC, INC.",01-01-2016
DCI MADISON,442507,-,605 WEST DUE WEST AVENUE ,MADISON,TN,37115,8,5,9.88%,Improvement,94.08%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,6,-,0.868,55,12,13.82,0.964,11,11.415,Achievement,5,5,55,0.50%,01-09-1976,"DIALYSIS CLINIC, INC.",06-03-2012
COOKEVILLE DIALYSIS,442511,-,320 N. WILLOW AVE ,COOKEVILLE,TN,38501,8,1,16.63%,Achievement,94.63%,Achievement,81.08%,72.55%,Achievement,91.38%,87.37%,Achievement,58.35%,77.40%,Achievement,83.25%,76.87%,Achievement,92.65%,85.53%,Achievement,10,-,9,10,-,10,4,-,1.006,174,54,53.676,0.814,35,43.002,Achievement,5,5,51,0.50%,13-11-1979,DAVITA,14-03-2012
FMC OAK RIDGE,442513,-,650 BRIARCLIFF AVENUE ,OAK RIDGE,TN,37830,8,3,13.25%,Achievement,92.27%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,1,-,1.214,102,34,28.009,1.22,40,32.784,Achievement,5,5,45,1.00%,16-07-1980,FRESENIUS MEDICAL CARE,16-08-2012
DCI EAST RIDGE,442514,-,6104 NORTH MACK SMITH RD. ,EAST RIDGE,TN,37412,8,7,7.12%,Achievement,94.20%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,6,-,0.844,37,8,9.18,0.868,8,9.215,Achievement,5,5,63,No Reduction,01-10-1980,"DIALYSIS CLINIC, INC.",01-10-1980
MORRISTOWN DIALYSIS,442517,-,120 PEARCE DRIVE ,MORRISTOWN,TN,37814,8,2,14.22%,Improvement,98.95%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,3,-,1.116,41,12,10.644,0.768,9,11.725,Achievement,5,5,61,No Reduction,06-08-1981,DAVITA,01-05-2012
DCI CUMBERLAND,442518,-,312 LANDRUM PLACE ,CLARKSVILLE,TN,37043,8,6,8.93%,Achievement,95.32%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,2,-,1.201,74,23,19.143,1.063,24,22.574,Achievement,5,5,54,0.50%,03-08-1981,"DIALYSIS CLINIC, INC.",16-03-2012
FMC BRISTOL,442519,-,2530 W. STATE ST ,BRISTOL,TN,37620,8,2,27.99%,Achievement,96.57%,N/A,No Rate,64.15%,N/A,No Rate,78.72%,N/A,No Rate,59.70%,N/A,No Rate,73.16%,N/A,No Rate,75.76%,N/A,8,-,9,10,-,10,1,-,1.234,78,24,19.443,0.75,20,26.67,Achievement,5,5,54,0.50%,20-02-1981,FRESENIUS MEDICAL CARE,28-01-2015
FMC EASTERN TENNESSEE,442522,-,180 SERRAL DRIVE ,GREENEVILLE,TN,37745,8,10,2.06%,Achievement,98.56%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,2,-,1.164,39,13,10.796,0.796,9,11.313,Achievement,5,5,67,No Reduction,12-07-1982,FRESENIUS MEDICAL CARE,15-12-2014
FMC EAST MEMPHIS,442524,-,6490 MT. MORIAH EXT. SUITE 101,MEMPHIS,TN,38115,8,3,14.01%,Achievement,95.65%,Achievement,59.16%,60.19%,Achievement,76.88%,76.42%,Achievement,59.21%,60.26%,Achievement,66.09%,57.95%,Achievement,67.93%,60.81%,Achievement,9,-,9,10,-,10,2,-,1.245,124,41,32.925,1.456,46,31.598,Improvement,5,5,50,0.50%,09-02-1984,FRESENIUS MEDICAL CARE,06-03-2012
"BIO-MEDICAL APPLICATION OF TENNESSEE, INC.",442527,-,4440 WALKER BLVD. ,KNOXVILLE,TN,37917,8,2,14.33%,Achievement,97.77%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,4,-,1.006,70,20,19.887,1.209,20,16.536,Achievement,5,5,55,0.50%,10-10-1984,FRESENIUS MEDICAL CARE,07-03-2012
DCI MURFREESBORO,442528,-,1617 WILLIAMS DRIVE SUITE 100,MURFREESBORO,TN,37129,8,3,12.75%,Achievement,91.36%,Achievement,50.92%,54.21%,Achievement,86.37%,89.61%,Achievement,45.07%,39.90%,Improvement,47.24%,48.81%,Achievement,56.66%,54.90%,Achievement,10,-,9,10,-,10,0,-,1.335,151,50,37.463,1.169,39,33.363,Achievement,5,5,32,1.50%,07-11-1984,"DIALYSIS CLINIC, INC.",06-03-2012
DCI MARYVILLE,442531,-,1851 CREST RD ,MARYVILLE,TN,37804,8,8,6.05%,Achievement,99.69%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,5,-,0.967,103,26,26.877,0.936,23,24.574,Achievement,5,5,62,No Reduction,06-05-1985,"DIALYSIS CLINIC, INC.",06-03-2012
